Type,Price,Address,Description,Bedrooms,Bathrooms,Agency_Name,Agency_Link,Images
Apartment,"9,000",LUSAIL,SEA VIEW: 2BR Furnished Apt. in Lusail City,2,2,FGREALTY,https://www.qatarliving.com/user/fgrealty,https://files.qatarliving.com/styles/555x415/s3/2020/05/20/apartment-for-rent-two-bedrooms-closed-kitchen-lusail-residential-fgrealty-image1600x_.jpg?itok=b78rw2u9
Apartment,"6,500",Fereej Bin Omran,3BHK Fully Furnished Apartment *NO COMMISSION,3,3,Apollo Enterprises,https://www.qatarliving.com/user/apollo-enterprises,https://files.qatarliving.com/styles/555x415/s3/2020/05/20/823-1.jpg?itok=l1NPcY7i
Apartment,"4,000",Al Doha Al Jadeeda,F/F 1BHK - all bills included (W/E/I) and NO Agency Fee!,1,1,Capital One Trading,https://www.qatarliving.com/user/capital-one-trading,https://files.qatarliving.com/styles/555x415/s3/2020/04/12/CAP63DJ-Free-Month.jpg?itok=sXTO4GeW
Apartment,"4,250",Umm Ghwailina,FF 1BHK (incl W/E) nr VIP Signal (NO COMMISSION Charge),1,1,Capital One Trading,https://www.qatarliving.com/user/capital-one-trading,https://files.qatarliving.com/styles/555x415/s3/2019/08/20/DSC007561.jpg?itok=MLoGE2iI
Apartment,"4,250",Al Aziziya,Spacious UF 2 Bedroom Flat │ Al Aziziya,2,1,Capital One Trading,https://www.qatarliving.com/user/capital-one-trading,https://files.qatarliving.com/styles/555x415/s3/mkdev/2018/02/19/4430220171227071756-Large.jpg?itok=wkDxrq0e
Apartment,"5,000",Abu Hamour,U/F 2BHK (for Exec. Bachelors) including W/E (NO Agency Fee) ,2,1,Capital One Trading,https://www.qatarliving.com/user/capital-one-trading,https://files.qatarliving.com/styles/555x415/s3/mkdev/2018/02/24/5487720180224133155-Large.jpg?itok=HX4OKyNY
Apartment,"4,250",Umm Ghwailina,Brand New and Spacious One Bedroom Apartment at Umm Ghuwailina ,1,2,Sidra Real Estate,https://www.qatarliving.com/user/sidra-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/05/08/799EDAA4-258C-4094-8EBD-72215A876B41.jpeg?itok=PgCpl0fy
Apartment,"3,500",Umm Ghwailina,Ready to Move - Spacious 2 Bedroom Apartment available at Umm Ghuwailina close to Metro St,2,2,Sidra Real Estate,https://www.qatarliving.com/user/sidra-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/04/27/C2AF60E3-5BF5-473F-BA48-A17161F70C32.jpeg?itok=AUI6Vfo3
Apartment,"7,500",Al Sadd,Fully Furnished 3-Bedrooms Apartment in Al Sadd ,3,3,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/05/11/Layout.png?itok=Ei52pf31
Apartment,"5,000",Najma,Brand New and Spacious 3 Bedroom Apartment available at Najma behind crown plaza Hotel ,3,2,Sidra Real Estate,https://www.qatarliving.com/user/sidra-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/03/16/7A9E50D2-C765-49A8-94C2-2AACB791E557.jpeg?itok=q7xN2qDS
Apartment,"3,700",Al Sadd,Ready to Move in Condition Fully Furnished One Bedroom Apartment at Al Sadd close to Metro,1,1,Sidra Real Estate,https://www.qatarliving.com/user/sidra-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/05/04/E2355616-47D6-4124-9F8E-CEAAF4246721.jpeg?itok=xbMTo5NS
Apartment,"6,500",Al Mansoura / Fereej Bin Dirham,TWO BHK FURNISHED FLAT INCLUDING BILLS ,2,2,Pleiades Real Estate,https://www.qatarliving.com/user/pleiades-real-estate-0,https://files.qatarliving.com/styles/555x415/s3/2020/03/25/WhatsApp-Image-2020-03-25-at-15.43.09-8.jpeg?itok=WfiOe9Ed
Apartment,"6,000",Al Sadd,Fully Furnished 2-BDR Apt Al Sadd + 1 month free ,2,2,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/05/11/Layout_0.png?itok=5Iky1Pn9
Apartment,"11,500",The Pearl Qatar,Fully Furnished 2-Bedroom Apartment in the Pearl,2,2,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/02/06/1_6.jpg?itok=EwdBAr9q
Apartment,"10,000",Al Hilal,3 Bedroom semi furnished compound villa at Hilal,3,3,Focus Real Estate1,https://www.qatarliving.com/user/focus-real-estate1,https://files.qatarliving.com/styles/555x415/s3/2020/05/20/j1.jpg?itok=ZoVNnBxn
Apartment,"5,000",Al Nasr,SPACIOUS TWO BEDROOM FLATS ,2,2,Pleiades Real Estate,https://www.qatarliving.com/user/pleiades-real-estate-0,https://files.qatarliving.com/styles/555x415/s3/2020/03/29/a908ac68-5659-4e1a-a294-7ccc7f73e182.jpg?itok=xYHxJ4xu
Apartment,"4,000",Umm Ghwailina,ONE BHK FURNISHED FLAT WITH TWO TOILETS,1,2,Pleiades Real Estate,https://www.qatarliving.com/user/pleiades-real-estate-0,https://files.qatarliving.com/styles/555x415/s3/2020/05/03/IMG-20170401-WA00021.jpg?itok=hjDPdQT-
Apartment,"11,000",West Bay,Lux. Furnished 3-Bedroom Apartment in West bay,3,3,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/02/13/Layout_5.jpg?itok=HsF9QYpO
Apartment,"8,000",The Pearl Qatar,Amazing Semi Furnished 1-Bdr Apt in The Pearl ,1,2,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/03/07/Layout6_2.png?itok=OJHNIWIc
Apartment,"3,000",West Bay,1Bhk villa apartment for rent at West bay,1,1,Focus Real Estate,https://www.qatarliving.com/user/focus-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/05/09/20200509_115036.jpg?itok=OHVjzj-g
Apartment,"3,200",Umm Ghwailina,1 BHK APARTMENT AT UMMUGHALINA,1,1,raireal,https://www.qatarliving.com/user/raireal,https://files.qatarliving.com/styles/555x415/s3/2019/02/17/mugal2.jpg?itok=G4A6jZcJ
Apartment,"4,000",Al Doha Al Jadeeda,No commission 1 BHK Fully/F Apartment including all Utilities,1,1,Focus Real Estate1,https://www.qatarliving.com/user/focus-real-estate1,https://files.qatarliving.com/styles/555x415/s3/2020/05/20/16_1.jpg?itok=p1ELZkoN
Apartment,"6,250",Ain Khaled,Spacious UF 3 Bedroom Flat│Ain Khaled,3,2,Capital One Trading,https://www.qatarliving.com/user/capital-one-trading,https://files.qatarliving.com/styles/555x415/s3/mkdev/2018/02/15/1094320171228064329-Large.jpg?itok=k9b9YACU
Apartment,"12,000",West Bay,"Fully Furnished 3-BDR Apt, West Bay + 1 month free ",3,3,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/04/11/1_4.jpg?itok=SiK6Qxsg
Apartment,"8,500",The Pearl Qatar,Fully Furnished 1-Bedroom Apartment in The Pearl ,1,1,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/05/05/1-6-01_0.jpg?itok=w3ThpHmh
Apartment,"10,500",West Bay,"Fully Furnished 2-BDR Apt, in West Bay +1 month free",2,2,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/06/24/Listing-layout-01.jpg?itok=RULWPwgX
Apartment,"15,000",The Pearl Qatar,Fully Furnished 2-Bedroom Duplex in The Pearl ,2,2,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/09/29/1-6-02.jpg?itok=_WM5Umf7
Apartment,"4,750",Wakrah,No commission 2 BHK Fully/F Apartment including all Utilities,2,2,Focus Real Estate1,https://www.qatarliving.com/user/focus-real-estate1,https://files.qatarliving.com/styles/555x415/s3/2020/05/20/10_6.jpg?itok=GMtnSAFn
Apartment,"5,000",Al Doha Al Jadeeda,Luxuriously Furnished 1BHK (incl W/E + Free Internet),1,1,Capital One Trading,https://www.qatarliving.com/user/capital-one-trading,https://files.qatarliving.com/styles/555x415/s3/2019/06/15/CAP120DJ-1.jpg?itok=26l2r8y3
Apartment,"2,061,735",The Pearl Qatar, TPG-S-1168 | No Commission | Water View | Fully Furnished,1,2,The Pearl Gates Luxury Realty,https://www.qatarliving.com/user/pearl-gates-luxury-realty,https://files.qatarliving.com/styles/555x415/s3/2020/05/20/3_13.jpg?itok=yd-w807E
Apartment,"10,000",West Bay,Semi Furnished 3 Bedrooms Apartment in West Bay ,3,3,Al Asmakh Real Estate,https://www.qatarliving.com/user/al-asmakh-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/10/17/Layout-_0.png?itok=6KOhAk3D
Apartment,"4,300",Umm Ghwailina,F/F 1BHK with Utilities + FREE Internet,1,1,Capital One Trading,https://www.qatarliving.com/user/capital-one-trading,https://files.qatarliving.com/styles/555x415/s3/2019/09/02/CAP15MGL-2.jpg?itok=ALrmfGwc
