Title,Description,Location,Features,Date,Price
VILLAS BEHIND HILITE MALL @ 47 LAKHS,"VINTAGE ONE VILLAS, METHOTTUTHAZHAM, KOZHIKODE, , 3 CENT 3 BEDROOM VILLA @ 47 LAKHS, WE ALSO HAVE, 4 CENT 3 BHK @ 52 LAKHS, 4 CENT 4 BHK @ 55 LAKHS, , SPECIALTIES:-, 1.KERALA'S FIRST BREATHING VILLA, 2.VASTU FRIENDLY DESIGN, , COMPLETION IN 10 MONTH'S, , SPECS:-, , 3 CENT PLOT AREA,, 3 BEDROOM WITH ATTACHED BATHROOM,, 1 CAR PARKING,, HALL,, 1ST FLOOR LIVING AREA,, DINING HALL,, SIT OUT,, 24HRS SECURITY,, COMMON LIVING AREA,, PRIVATE LIVING AREA,, GUEST CAR PARKING","India, Kerala, Kozhikode",3 Bds - 3 Ba - 1342 ft2,2020-03-17T11:10:29+0000,"₹ 47,00,000"
2bhk Flat for Sale,2BHK full furnished flat for Sale,"India, Maharashtra, Nagpur",2 Bds - 2 Ba - 780 ft2,2020-05-19T16:11:19+0000,"₹ 25,00,000"
Fresh House for sale,"House is newly constructed and  3 BHK. 4 Km to Ettumanoor 3 km to MG University and 5 Km to Medical College.. if interested, please message/ contact","India, Kerala, Athirampuzha",3 Bds - 3 Ba - 4356 ft2,2020-05-19T16:10:27+0000,"₹ 70,00,000"
24 hrs water supply,"Adjacent to Grand mall, less than 1 km to Railway Station, Vijayanagar Bus terminus, Chennai Silks, Saravana Stores, A2B, etc.,, Opp to Park, Assured Rental Income between 18-20k","India, Tamil Nadu, Chennai",2 Bds - 2 Ba - 900 ft2,2020-05-19T16:10:27+0000,"₹ 69,00,000"
1bhk at dombivali lodha palava,"Established in the year 1980, Lodha Group is one of the premier real estate developers in Mumbai. Since its inception, the company has successfully delivered some of the most iconic landmarks and contributed significantly in transforming the skyline of Mumbai. It is managed by an effective team of professionals equipped with technical expertise, excellent domain knowledge, and extensive cross-functional experience. With various developments in London, Mumbai, and Pune, and offices in New York, Dubai, Singapore and Shanghai, it is a multinational corporation.","India, Maharashtra, Mumbai",1 Bds - 1 Ba - 500 ft2,2020-03-14T07:13:17+0000,"₹ 38,00,000"
New constructed house,Sale for new contructed  house of 2 bedroom with 1 master bedroom. and 1 toilet bathroom separately. and 1 store room. With Car parking area.,"India, Goa, Bicholim",2 Bds - 3 Ba - 775 ft2,2020-05-19T16:09:50+0000,"₹ 10,000"
"100Gajh House For Sale...Akansha Enclave, Delapeer mandi road,Bareilly","21 Feet Front, 30 Feet Road, Gas Pipeline, 5 min Phoenix Mall, 5 Min Delapeer Mandi, Steel Gate, Beautiful Elevation , Sumersible fitted, School Nearby, , 90% Bank loan available, Good quality of construction , , At, Akansha Enclave,, Munshi Nagar,, Delapeer Mandi Road,, Bareilly.","India, Uttar Pradesh, Bareilly",2 Bds - 2 Ba - 900 ft2,2020-04-03T08:02:33+0000,"₹ 28,00,000"
3BHK villa luxurious & loanable at kalwar road.,"3BHK villa luxurious & loanable at kalwar road., , *Most prime location of Jhotwara loaclity., , *Loanable upto 90%, , *PMAY subsidy upto 2.67 lac., , Colony fascilities:-, , *Severage line, , *Water supply, , *Damar Road of 30/40/60 Feet., , Villa fascilities:-, , *Covered parking, , *Fall ceiling, , *Modular Kitchen, , *Texture paints and wallpapers, , *Premium quality vitrified tiles, , Nearby markets, hospitals, schools, banks and ATM available., , Only 100 mtr from main road, , contact us for more details and site visit.","India, Rajasthan, Jaipur",3 Bds - 2 Ba - 1200 ft2,2020-05-19T16:09:44+0000,"₹ 25,51,000"
SBI Bank Approved Ready to Move in Flats in For Sale in Uttarahalli,"Swasthik Balaji Shelters is promoted and developed by “ Swasthik Balaji Developers “ with an impeccable reputation for quality integrity and on schedule delivery. For most people, a home is the most important investment they will ever make. 2bhk & 3bhk apartments. 100% vastu for each flats., OC & CC Project – Gym , BBMP Approved. A Katha, Covered car parking’s., Multi-purpose hall for personal parties and celebrations., Rain water harvesting system., 6 passenger capacity lift. & 24/7 power backup., 24/7 security with CCTV surveillance at the entry and exit gates., Intercom Facility., Landscaped Children’s play area., Granite flooring for Common areas, Vitrified tile flooring for living, dinning, Kitchen and Bedrooms., Ceramic Tile flooring in bathrooms with glazed tiles upto 7’0’’ height., Adjacent to proposed peripheral ring road., WORK SPACES (Global Village Tech Park), Accenture, Crompton Greaves, Mindtree, Emphasis, NTT DATA, Sonata Software, Texas Instruments, Textron –and Offices of many IT Conglomerates.","India, Karnataka, Bengaluru",2 Bds - 2 Ba - 1200 ft2,2020-05-19T16:08:21+0000,"₹ 63,60,000"
2 bhk with roof in 22 lacs,It's a well furnished 2bhk builder flat with roof modular kitchen wardrobes led lights fans and modern flooring,"India, Uttar Pradesh, Ghaziabad",2 Bds - 2 Ba - 850 ft2,2020-05-19T16:02:48+0000,"₹ 22,00,000"
