Title,Link,Store,Price
"GIGABYTE AERO 15 Classic-SA-U74ADP 15.6"" i7-9750H GTX 1660 Ti 16GB Memory 512GB SSD Gaming Laptop - $1339 AR + FS",/f/14052722-gigabyte-aero-15-classic-sa-u74adp-15-6-i7-9750h-gtx-1660-ti-16gb-memory-512gb-ssd-gaming-laptop-1339-ar-fs?src=catpagev2,Newegg,
WD 2TB Black USB 3.0 My Passport Portable HDD YMMV In Store Only $45,/f/14050376-wd-2tb-black-usb-3-0-my-passport-portable-hdd-ymmv-in-store-only-45?src=catpagev2,Walmart,$45
"Insignia™ - FlexView Folio Case for Most 10"" Tablets - Black and more $15",/f/14045147-insignia-flexview-folio-case-for-most-10-tablets-black-and-more-15?src=catpagev2,Best Buy,$15
Canon PIXMA iP110 Mobile Photo Printer $149.99,/f/14049302-canon-pixma-ip110-mobile-photo-printer-149-99?src=catpagev2,Adorama,$149.99
"ONN USB 2.0 Flash Drive, 16 GB, Walmart, $1.00, YMMV",/f/14053841-onn-usb-2-0-flash-drive-16-gb-walmart-1-00-ymmv?src=catpagev2,Walmart,$1
"Anker 5-in-1 USB-C Hub w/ 4K HDMI, 2x USB 3.0, SD & microSD Card Reader",/f/14044838-anker-5-in-1-usb-c-hub-with-4k-hdmi-2-usb-3-0-ports-sd-and-microsd-card-reader-17-99-ac-fsss?src=catpagev2,Amazon,$18
"Amazon: Select Discover Cardholders: Pay w/ Points, Get",/f/14049782-amazon-select-discover-cardholders-pay-w-points-get-20-off-max-20-discount?src=catpagev2,Amazon,20% Off
Get 50% off your Ledger Nano S with the code: WEARETHEBULLRUN,/f/14045075-get-50-off-your-ledger-nano-s-with-the-code-wearethebullrun?src=catpagev2,,$45.35
CORSAIR - DARK CORE RGB PRO Wireless Optical Gaming Mouse $70,/f/14049503-corsair-dark-core-rgb-pro-wireless-optical-gaming-mouse-70?src=catpagev2,Best Buy,$70
ASRock Challenger D Radeon RX 5500 XT CLD 4GO 4GB Video Card @Newegg (AR) $150,/f/14047910-asrock-challenger-d-radeon-rx-5500-xt-cld-4go-4gb-video-card-newegg-ar-150?src=catpagev2,Newegg,$150
WD Blue 2.5-Inch 3D NAND SATA SSD 250GB YMMV $30.00,/f/14047298-wd-blue-2-5-inch-3d-nand-sata-ssd-250gb-ymmv-30-00?src=catpagev2,Walmart,$30
"QGeeM 7 in 1 USB Type C Hub HDMI 4k Adapter,3 USB 3.0 Ports,SD/TF Card Readers,2018 Mac Air,Chromebook USB C @ $18 + F/S",/f/14053610-qgeem-7-in-1-usb-type-c-hub-hdmi-4k-adapter-3-usb-3-0-ports-sd-tf-card-readers-2018-mac-air-chromebook-usb-c-18-f-s?src=catpagev2,Amazon,$18.19
Obihai Technology OBi212 Voice Adapter with FXS Phone and FXO Gateway $69.99,/f/14045990-obihai-technology-obi212-voice-adapter-with-fxs-phone-and-fxo-gateway-69-99?src=catpagev2,Amazon,$69.99
"HP - 31.5"" IPS LED FHD Monitor - Black @ $189.99 + F/S",/f/14050799-hp-31-5-ips-led-fhd-monitor-black-189-99-f-s?src=catpagev2,Best Buy,
"Kobo Clara HD 6"" in walmart and kobobooks for $90",/f/14050910-kobo-clara-hd-6-in-walmart-and-kobobooks-for-90?src=catpagev2,,$90
BeFit Tracker (MACOS),/f/14045033-befit-tracker-macos?src=catpagev2,,
"Patriot 2.5"" 240GB SATA SSD $32.99 + Free Shipping",/f/14043665-patriot-2-5-240gb-sata-ssd-32-99-free-shipping?src=catpagev2,Newegg,$32.99
ASUS Blue Cave AC2600 Dual-Band Wi-Fi Router (Refurbished),/f/14042621-asus-blue-cave-ac2600-dual-band-wi-fi-router-refurbished-75-free-shipping?src=catpagev2,Newegg,$75
"Amazon.com: AOC Q32V3 32"" 2K QHD Monitor, VA Panel 3-Sided Frameless, 4ms 75Hz, 103% sRGB Coverage, VESA $210 + FREE S&H",/f/14048588-amazon-com-aoc-q32v3-32-2k-qhd-monitor-va-panel-3-sided-frameless-4ms-75hz-103-srgb-coverage-vesa-210-free-s-h?src=catpagev2,Amazon,
Corsair Void Elite Surround Premium Gaming Headset and CORSAIR Harpoon PRO Gaming Mouse Bundle - $89 + FS $89.98,/f/14054462-corsair-void-elite-surround-premium-gaming-headset-and-corsair-harpoon-pro-gaming-mouse-bundle-89-fs-89-98?src=catpagev2,Amazon,$89.98
Amazon Prime Exclusive: Apple AirPods Pro With Wireless Charging $227.99 + $5 off $10 Amazon Promo + Free Shipping,/f/14045102-amazon-prime-exclusive-apple-airpods-pro-with-wireless-charging-227-99-5-off-10-amazon-promo-free-shipping?src=catpagev2,Amazon,$227.99
"LG 34"" Class UltraWide Full HD IPS Monitor $299.99",/f/14044244-lg-34-class-ultrawide-full-hd-ips-monitor-299-99?src=catpagev2,,$299.99
ASUS ROG Strix Carry - Portable Wireless + Bluetooth Ergonomic Optical Gaming Mouse P508 $59.99,/f/14049203-asus-rog-strix-carry-portable-wireless-bluetooth-ergonomic-optical-gaming-mouse-p508-59-99?src=catpagev2,,$59.99
"IOGEAR 4-Port VGA Video Splitter / 1x4 Distribution Amplifier / Signal Booster, GVS74 $15.01 FS w/ Prime",/f/14054666-iogear-4-port-vga-video-splitter-1x4-distribution-amplifier-signal-booster-gvs74-15-01-fs-w-prime?src=catpagev2,Amazon,$15.01
ABKONCORE True 100% Anti-Ghosting Mechanical Keyboard K660 $32.49 AC + FSSS,/f/14045393-abkoncore-true-100-anti-ghosting-mechanical-keyboard-k660-32-49-ac-fsss?src=catpagev2,Amazon,$32.49
"Ebay - Lenovo ThinkPad X1 Yoga 3rd Gen, 14.0 FHD IPS Touch, i5-8350U, 16GB, 256GB SSD, Win10 Pro, 3Yr Warranty $999",/f/14044211-ebay-lenovo-thinkpad-x1-yoga-3rd-gen-14-0-fhd-ips-touch-i5-8350u-16gb-256gb-ssd-win10-pro-3yr-warranty-999?src=catpagev2,eBay,$999
ASUS ROG Gladius II Aura Sync USB Wired Optical Ergonomic Gaming Mouse with DPI target button (12000 DPI) $49.99,/f/14049197-asus-rog-gladius-ii-aura-sync-usb-wired-optical-ergonomic-gaming-mouse-with-dpi-target-button-12000-dpi-49-99?src=catpagev2,,$49.99
